MEDIUM_MEDIENINHABER,medium,RECHTSTRÄGER,LEERMELDUNG,QUARTAL,bekanntgabe_description,year,BEKANNTGABE,id,EURO
RTL,RTL,Bundeskammer für Arbeiter und Angestellte,0,20123,Werbeaufträge und Medienkooperationen,2012,2,159,7384.22
Hitradio Ö3,ORF,Bundeskammer für Arbeiter und Angestellte,0,20123,Werbeaufträge und Medienkooperationen,2012,2,160,32008.65
DER STANDARD,Der Standard,Bundeskanzleramt,0,20123,Werbeaufträge und Medienkooperationen,2012,2,161,16935.0
Österreich,Österreich,Bundeskanzleramt,0,20123,Werbeaufträge und Medienkooperationen,2012,2,162,28780.0
KURIER,Kurier,Bundeskanzleramt,0,20123,Werbeaufträge und Medienkooperationen,2012,2,163,22950.0
HEUTE,Heute,Bundeskanzleramt,0,20123,Werbeaufträge und Medienkooperationen,2012,2,164,39021.93
Die Presse,Die Presse,Bundeskanzleramt,0,20123,Werbeaufträge und Medienkooperationen,2012,2,165,10222.17
Kleine Zeitung,Kleine Zeitung,Bundeskanzleramt,0,20123,Werbeaufträge und Medienkooperationen,2012,2,166,30667.48
KRONEN ZEITUNG,Krone,Bundeskanzleramt,0,20123,Werbeaufträge und Medienkooperationen,2012,2,167,115734.0
E-Media,E-Media,Bundeskanzleramt,0,20123,Werbeaufträge und Medienkooperationen,2012,2,168,8542.5
Kommunal,Kommunal,Bundeskanzleramt,0,20123,Werbeaufträge und Medienkooperationen,2012,2,169,8779.16
Vorarlberger Nachrichten,Vorarlberger Nachrichten,Bundeskanzleramt,0,20123,Werbeaufträge und Medienkooperationen,2012,2,170,6747.3
OÖNachrichten,OÖNachrichten,Bundeskanzleramt,0,20123,Werbeaufträge und Medienkooperationen,2012,2,171,16792.64
Salzburger Nachrichten,Salzburger Nachrichten,Bundeskanzleramt,0,20123,Werbeaufträge und Medienkooperationen,2012,2,172,11059.2
Tiroler Tageszeitung,Tiroler Tageszeitung,Bundeskanzleramt,0,20123,Werbeaufträge und Medienkooperationen,2012,2,173,12417.74
Gemeinschaft der Kärntner Slowenen und Sloweninnen,Gemeinschaft der Kärntner Slowenen und Sloweninnen,Bundeskanzleramt,0,20123,Förderungen,2012,4,174,6600.0
Kroatischer Presseverein,Kroatischer Presseverein,Bundeskanzleramt,0,20123,Förderungen,2012,4,175,40000.0
